name,price,location,link,Description,Property Address,Condition,Furnishing,Attribute_1,Attribute_2,Attribute_3,Estate Name,Property Size,Subtype,Service Charge Fee,Service Charge Covers,Agency Fee,Legal and Agreement Fee,Caution Fee,Total Fee,Pets,New Property,Total Rooms,Parking Space,Broker Fee,Furnished,Housing Quality,Smoking,Parties
"4bdrm Duplex in Orchid Drive, Lekki for rent", 5000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/4bdrm-duplex-in-orchid-drive-lekki-for-rent-O2HNFutxXZXS27XZ6VcrWk6.html?page=9&pos=2&cur_pos=2&ads_per_page=21&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=171,"4 bedroom fully detached duplex with a BQ for rent 
Rent :5m
10%agency 10% legal 300k caution
Location: orchid junction, inside a secured estate
Take note
Inspection fee is 10k
Omosholaowolabilevel...",Orchid drive Lekki eti-osa,Fairly Used,Unfurnished,Duplex,4 bedrooms,4 bathrooms,Orchid drive,"300
     
      sqm",,,,,,,,,,,,,,,,
4bdrm Townhouse / Terrace in Lekki for rent, 8000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/4bdrm-townhouse-terrace-in-lekki-for-rent-1ekmVS2tB8m9i38PZXALCybP.html?page=9&pos=5&cur_pos=5&ads_per_page=21&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=174,"Newly Built 4bedroom Terrace
*Location: Atlantis IV Estate, Plantinum Way, Jakande*
Rental Value: 8 Million per Annum 
Service charge:# per Month 
Agency: 10%:#
Legal: 10%:#
Caution:#
*Features:*
Swimming pool 
Gym
Gated estate with 24/7 Security 
Fitted kitchen 
 All rooms Ensuite",Jakande,Newly-Built,Unfurnished,Townhouse / Terrace,4 bedrooms,5 bathrooms,,"500
     
      sqm",,,,,,,,,,,,,,,,
"4bdrm Duplex in Ologolo, Lekki Expressway for Rent", 4000000,"Lekki, Lekki Expressway",https://jiji.ng/lekki-expressway/houses-apartments-for-rent/4bdrm-duplex-in-ologolo-lekki-expressway-for-rent-1BqmVeWaVdWtqQBBm8PNNitT.html?page=9&pos=8&cur_pos=8&ads_per_page=21&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=177,"*TO LET*
*clean spacious 4 bedroom terrace duplex with a bq In Ologolo all rooms en-suite. With good road interlock easy accessibility good proximity well secured mini estate 24/7 electricity and security good water supply (treatment)*
Rent 4m
Agency 10%
Agreement 10%
Caution 300k
Service charge 800k yrly
*Covers*
Security dues 
Lawma
Water treatment (clean water supply)
Drainage of sockaway 
Wastage disposal 
Cleaning of the environment 
Pay as you go 
Call for more enquiry:Prince precious homes limited",ologolo,Renovated,Semi-Furnished,Duplex,4 bedrooms,5 bathrooms,Ologolo,"1500
     
      sqm",,800000,"Security,estate dues ,cleaning,water treatment,drainage of sockaway,wastage disposal,diesel",400000,400000,300000,,,,,,,,,,
Furnished 6bdrm Duplex in Price Estate Lekki for rent, 35000000,"Lekki, Lekki Phase 1",https://jiji.ng/lekki-phase/houses-apartments-for-rent/furnished-6bdrm-duplex-in-price-estate-lekki-for-rent-5czn6lcQBN5H0BtDvZsIhHaV.html?page=9&pos=11&cur_pos=11&ads_per_page=21&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=180,"*for lease*
*6 bed luxury smart duplex lekki-phase-1*
*features* :- swimming pool + luxury wide roof top areas master bedroom only 
+ 2 room boxesquarter+ master with an inner lounge +
remote control gate +
in room speaker +
chandeliers in all 3 living rooms +
parking space 7 cars +
balcony speakers +
pool speakers +
sauna + jacuzzi & shower glass bathrooms +
outdoor barbecue lounge 
gazebo area + artificial carpet grass area + self compound spacious",Lekki phase 1,Newly-Built,Furnished,Duplex,6 bedrooms,6 bathrooms,Price estate lekki phase one,"700
     
      sqm",,,,,,,,,,,,,,,,
4bdrm Duplex in Agungi for rent, 8500000,"Lekki, Agungi",https://jiji.ng/agungi/houses-apartments-for-rent/4bdrm-duplex-in-agungi-for-rent-xnj6w0TVG4ADbCYS84BMRCtR.html?page=9&pos=14&cur_pos=14&ads_per_page=21&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=183,"Four rooms fully furnished semi detached duplex at Agungi Lekki. With a Boys' Quarters within.
All rooms are en-suite and their is visitors' toilet as well.
Contact: + (Charles)","Agungi Residence, Lekki Road",Newly-Built,Semi-Furnished,Duplex,4 bedrooms,5 bathrooms,,"600
     
      sqm",,,,,,,,,,,,,,,,
"2bdrm Apartment in Osapa London, Lekki Phase 1 for rent", 3200000,"Lekki, Lekki Phase 1",https://jiji.ng/lekki-phase/houses-apartments-for-rent/2bdrm-apartment-in-osapa-london-lekki-phase-1-for-rent-beHiKkp5RFpoLix13GoCmD0Z.html?page=9&pos=17&cur_pos=17&ads_per_page=21&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=186,"Available 2bedroom apartment 
*Available 2bedroom*
*Location: Osapa London*
Rent - 3.2m
10% Agency fee - 320k
Legal fee - 160k
Service charge - 376,500 (quarterly)
Power - 40k
Diesel deposit - 50k (monthly)
Caution fee - 300k (refundable)
Total package = 4,446,500
Ask for more details",Osapa London,Newly-Built,Semi-Furnished,Apartment,2 bedrooms,3 bathrooms,osapa London,"3000
     
      sqm",,376500,"Security,lawma,mentainance,cleaning, wastage disposal,water treatment,drainage of sockaway,",320000,160000,300000,780000,,,,,,,,,
3bdrm Block of Flats in Magodo Phase Two for rent, 3500000,"Magodo, GRA Phase 2 Shangisha",https://jiji.ng/gra-phase-2/houses-apartments-for-rent/3bdrm-block-of-flats-in-magodo-phase-two-for-rent-l9wUkwCShSswwlbVVJQGKCKS.html?page=9&pos=20&cur_pos=20&ads_per_page=21&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=189,"TO LET
Clean 3bedroom flat all rooms ensuit with pop at magodo phase two gra",Magodo phase two gra,Fairly Used,Unfurnished,Block of Flats,3 bedrooms,3 bathrooms,Magodo phase two,"600
     
      sqm",,,,,,,,,,,,,,,,
3bdrm Apartment in Victoria Island for rent, 7000000,Victoria Island,https://jiji.ng/victoria-island/houses-apartments-for-rent/3bdrm-apartment-in-victoria-island-for-rent-tWAl0Lsmsr9fj414Xc02NBid.html?page=10&pos=2&cur_pos=2&ads_per_page=22&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=192,"Fully serviced luxury 3bedrooms apartment upstairs in a secured estate for rent
*note:* no furniture inclusive.
location: dideolu estate victoria island vi lagos.
 rent: 7m per annum
service charges: 3m
diesel deposit: 2m
agency: 10%
legal: 10%
caution deposit: 10%
 *description:*
- all rooms ensuite
- stable power supply
- 24 hours security
- fitted kitchen
- dinning section
- family lounge
- good road
- serene environment
- prime location
- good neighborhood
- clean water
- good drainage system
 for more information call whatsapp
karee",Victoria Island,Newly-Built,Unfurnished,Apartment,3 bedrooms,3 bathrooms,,"2300
     
      sqm",,,,,,,,,,,,,,,,
4bdrm Duplex in Ikota for rent, 8000000,"Lekki, Ikota",https://jiji.ng/ikota/houses-apartments-for-rent/4bdrm-duplex-in-ikota-for-rent-cq2hVIu96x0o1QZmiBCfsXMk.html?page=10&pos=5&cur_pos=5&ads_per_page=22&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=195,"Location: Ikota villa Estate
RENT : 8M (Strictly 2years upfront)
Agency: 10%
Legal : 10%
Caution : 10%
Total: 20,000,000",Ikota villa,Newly-Built,Unfurnished,Duplex,4 bedrooms,4 bathrooms,Ikota,"300
     
      sqm",,,,10,10,10,30,,,,,,,,,
Furnished 3bdrm Apartment in 1004 Estate for rent, 8000000,"Victoria Island, 1004",https://jiji.ng/1004/houses-apartments-for-rent/furnished-3bdrm-apartment-in-1004-estate-for-rent-zLw576LkZ1BOlub6nO1mpJmm.html?page=10&pos=8&cur_pos=8&ads_per_page=22&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=198,"Fully furnished 3 bedroom flat at block A1, 1004 flats estate VI rent
Price: #8,000,000
Enquiries080XXXXXXXX",Victoria island,Fairly Used,Furnished,Apartment,3 bedrooms,4 bathrooms,1004 estate,"800
     
      sqm",,,,,,,,,,,,,,,,
Furnished 3bdrm Duplex in Bananas Lsland for rent, 23000000,"Ikoyi, Banana Island",https://jiji.ng/banana-island/houses-apartments-for-rent/furnished-3bdrm-duplex-in-bananas-lsland-for-rent-1fIPNfkKKG3T79Y3gnZpgk5p.html?page=10&pos=11&cur_pos=11&ads_per_page=22&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=201,"FOR RENT
One Unit left (furnished), a 3 bedroom terrace in Banana Island.
Features
- 3 bedroom terrace (all ensuite on 2 floors)
- 24/7 Security
- Swimming pool
- Ocean view
- Gated community
- Ample parking space
- 24/7 power supply
- Semi-fitted kitchen
- 1 bedroom boys quarters.
Price: #23million per annum.",Ikoyi bananas lsland,Newly-Built,Furnished,Duplex,3 bedrooms,3 bathrooms,Bananas lsland estate ikoyi,"600
     
      sqm",,,,,,,,,,,,,,,,
"2bdrm Apartment in Ikate, Lekki Phase 1 for rent", 4000000,"Lekki, Lekki Phase 1",https://jiji.ng/lekki-phase/houses-apartments-for-rent/2bdrm-apartment-in-ikate-lekki-phase-1-for-rent-uNPzmLSJ1BqfprfreoHIdmO5.html?page=10&pos=14&cur_pos=14&ads_per_page=22&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=204,"Available 2/3 bedroom apartment 
*Available 2bedroom*
*Location: Ikate Elegushi 
Comes with a pool and gym and lift 24hrs electricity. 
 In a nice and good estate drinkable water 
Easy accessibility and good proximity 
Clean environment",ikate,Newly-Built,Semi-Furnished,Apartment,2 bedrooms,3 bathrooms,ikate,"3000
     
      sqm",,,,400000,200000,200000,800000,,,,,,,,,
4bdrm Duplex in Ikota for Rent, 5500000,"Lekki, Ikota",https://jiji.ng/ikota/houses-apartments-for-rent/4bdrm-duplex-in-ikota-for-rent-8p3jdaJoASUupEC5pbKfmINN.html?page=10&pos=17&cur_pos=17&ads_per_page=22&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=207,"TO LET 
4 Bedroom Semi-Detached Duplex for Rent
—
 4 Bed, 4 Baths
 Ikota, Lekki, Lagos
 ₦5,500,000
Other charges:
Agency: 10%
Legal: 10%
Caution: 300,000
Total: 6,900,000
—
Features:
All rooms En-suite | POP Ceiling | Large Living Area | Dinning Area | Fitted Kitchen | Heat Extractor | Water heater | High Ceiling | Kitchen Store | Large Master’s Room | Walk-In Shower | Bathtub | BQ | Gated Estate",Ikota Lekki,Newly-Built,Unfurnished,Duplex,4 bedrooms,5 bathrooms,,"200
     
      sqm",,,,550000,550000,300000,,,,,,,,,,
"Furnished 3bdrm Duplex in Beachwood Estate, Bogije for Rent", 3000000,"Ibeju, Bogije",https://jiji.ng/bogije/houses-apartments-for-rent/furnished-3bdrm-duplex-in-beachwood-estate-bogije-for-rent-BwS7SxnxHoswqPLJ0LfSV742.html?page=10&pos=20&cur_pos=20&ads_per_page=22&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=210,This is 3 bedrooms duplex at beechwood estate at along epe express way very good estate good roads and security guard 24hr light very beautiful place,beechwood estate along epe express way going to Eleko,Newly-Built,Furnished,Duplex,3 bedrooms,3 bathrooms,Beachwood estate,"500
     
      sqm",,,,,,,,,,,,,,,,
4bdrm Duplex in Ikoyi for rent, 10000000,Ikoyi,https://jiji.ng/ikoyi-obalende/houses-apartments-for-rent/4bdrm-duplex-in-ikoyi-for-rent-cMoIy0gJ8e61z1ckv5FgG3hH.html?page=11&pos=1&cur_pos=1&ads_per_page=22&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=213,"Beautiful Spacious Well Maintained 4bedrooms Fully Detached Duplex with BQ For Rent
 Location: Dolphin Estate, Ikoyi Lagos
 
Caution Deposit: 10%
 Agency: 10%
 Legal: 10%
 *Description:*
- All Rooms Ensuite
- Stable Power Supply
- 24 Hours Security
- Fitted kitchen
- Dinning Section
- Family Lounge
- Good Road
- Serene Environment
- Prime location
- Good neighborhood
- Clean Water
- Good drainage system","Dolphin Estate, Ikoyi Lagos",Fairly Used,Unfurnished,Duplex,4 bedrooms,4 bathrooms,,"600
     
      sqm",,,,,,,,,,,,,,,,
"6bdrm Duplex in Olori Mojishola Off, Old Ikoyi for rent", 25000000,"Ikoyi, Old Ikoyi",https://jiji.ng/old-ikoyi/houses-apartments-for-rent/6bdrm-duplex-in-olori-mojishola-off-old-ikoyi-for-rent-uW7dokWYxkhRKKNRFBKIuIMj.html?page=11&pos=4&cur_pos=4&ads_per_page=22&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=216,6 bedroom duplex new house all room ensult with swimming pool GYM chinema @ olori mojishola off banana road price 25million,Olori mojishola off banana road,Newly-Built,Semi-Furnished,Duplex,6 bedrooms,6 bathrooms,Olori mojishola off banana road,"700
     
      sqm",,,,5,5,500,510,,,,,,,,,
"2bdrm Block of Flats in Century Area, Ago Palace for rent", 1400000,"Isolo, Ago Palace",https://jiji.ng/ago-palace/houses-apartments-for-rent/2bdrm-block-of-flats-in-century-area-ago-palace-for-rent-dDMOIxfvLgc4vlY4hw0Gh34v.html?page=11&pos=7&cur_pos=7&ads_per_page=22&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=219,"Brand new all ensuite 2-bedroom flats within a quiet Close off Dr. Faseun Avenue, Okota, Lagos. 
3-bedroom flat available there too for 1.6M p.a.","Odunlami Street, off Century B/Stop, Ago - Okota Lagos",Newly-Built,Unfurnished,Block of Flats,2 bedrooms,2 bathrooms,Century Area,"90
     
      sqm",,100000,"Premises cleanin, street and house secuirty, water pump and premises security lights",10,10,10,30,,,,,,,,,
Furnished 3bdrm Townhouse / Terrace in Lekki for Rent, 6500000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/furnished-3bdrm-townhouse-terrace-in-lekki-for-rent-rWF1IatJfRHn16JMtC7jL9C5.html?page=11&pos=10&cur_pos=10&ads_per_page=22&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=222,"SUPER LETTING IKATE ,LEKKI 
Very beautiful and decently finished 3Bedroom Terrace Duplex in a serene, secured and conducive environment. 
Location: Ikate, Lekki

Agency: 10%
Legal: 10%
Caution: 5%",Ikate,Newly-Built,Furnished,Townhouse / Terrace,3 bedrooms,3 bathrooms,,"1200
     
      sqm",Semi-Detached,,,,,,,,,,,,,,,
Furnished 4bdrm Apartment in Lekki for rent, 8000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/furnished-4bdrm-apartment-in-lekki-for-rent-n04jTSQj6YefpWsFldAYXSvG.html?page=11&pos=13&cur_pos=13&ads_per_page=22&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=225,"*FOR LEASE LEKKI*
*Fully furnished smart 4 Bedrooms detached house with 1 room service quarters*
*Location:, Ologolo, Lekki*
*Rent. 8m per annum*
Agency 10%
Agreement 10%
Caution 10%
Without furnished 6.5m",Ologolo lekki,Newly-Built,Furnished,Apartment,4 bedrooms,6 bathrooms,,"400
     
      sqm",,800000,Security lawma cleaning drainage of sockaway disposal of bin mentaince,800000,800000,800000,2400000,,,,,,,,,
"3bdrm Duplex in Access Estate Ochid, Lekki for rent", 4000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/3bdrm-duplex-in-access-estate-ochid-lekki-for-rent-muffTzVVUp3N011swH2mb212.html?page=11&pos=16&cur_pos=16&ads_per_page=22&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=228,"TO LET*
Fully serviced 3Bedroom semi detached duplex Duplex inside a well secured & Calling Access Estate 
LOCATION - Orchid lekki Lagos

*_20 hrs guaranteed power workdays & 24hrs power supply during weekend*_",Ochid Road,Newly-Built,Semi-Furnished,Duplex,3 bedrooms,3 bathrooms,Access Estate Ochid Road,"1000
     
      sqm",,,,400000,400000,300000,1100000,,,,,,,,,
Furnished 4bdrm Duplex in Private Estate Ikota for rent, 4500000,"Lekki, Ikota",https://jiji.ng/ikota/houses-apartments-for-rent/furnished-4bdrm-duplex-in-private-estate-ikota-for-rent-smuTkFM8Hcvhjgvn70igJt3s.html?page=11&pos=19&cur_pos=19&ads_per_page=22&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=231,"TO LET
4Bedroom Terrace Duplex 
Location: ikota , Lekki 
Rent: N4.5Milion 
Caution Fee: 5%
Agency: 10%
Legal: 10%
Total:6,185,000",lekki Ikota roads,Newly-Built,Furnished,Duplex,4 bedrooms,4 bathrooms,private estate Ikota,"700
     
      sqm",,,,,,,,,,,,,,,,
Furnished 2bdrm Block of Flats in Ikate for rent, 4500000,"Lekki, Ikate",https://jiji.ng/ikate/houses-apartments-for-rent/furnished-2bdrm-block-of-flats-in-ikate-for-rent-1Ag5EAlMQFl8GBFoPvebLSe1.html?page=11&pos=22&cur_pos=22&ads_per_page=22&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=234,A newly built 2bedroom serviced flat rooms en suite fitted kitchen in a well secured and well serene serviced estate with 24hrs power supply in ikate to let 4.5m,ikate,Newly-Built,Furnished,Block of Flats,2 bedrooms,3 bathrooms,,"150
     
      sqm",,,,,,,,,,,,,,,,
4bdrm Duplex in Lekki Phase 1 Rhs for rent, 6000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/4bdrm-duplex-in-lekki-phase-1-rhs-for-rent-ATX9qH7Tc34ErGxDHy7khnM.html?page=12&pos=3&cur_pos=3&ads_per_page=21&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=237,"To Let 
(Commercial, Quiet Office)
4bed Semi Detached Duplex with Spacious compound that can take 5 cars. 
No bq
Location: Oriwu Street Elf, Lekki Phase1 RHS, the same street with Petrocam. 
Rent: N6M PA. 
Service Charge: 500k (Covers Water and LAWMA)
Caution: 500k 
Agency: 10%
Legal: 10%
NB: NO SHORTLET ALLOWED)
... mysk",lekki phase 1 RHS,Fairly Used,Unfurnished,Duplex,4 bedrooms,4 bathrooms,lekki phase 1 RHS,"500
     
      sqm",,,,,,,,,,,,,,,,
"Furnished 4bdrm Apartment in U3 Estate, Lekki for rent", 6000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/furnished-4bdrm-apartment-in-u3-estate-lekki-for-rent-rWt8ECArGusv4YHnuzqU3xXW.html?page=12&pos=6&cur_pos=6&ads_per_page=21&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=240,"FOR RENT 
•8 units of 3 bedroom flat with a room bq, tastefully finished and fully furnished, with modern fittings,in a serene and secure environment; has a swimming pool available, available for rent 
NB: (CORPORATE ORGANIZATION/CLIENT TO TAKE ALL)
•LOCATION: lekki right, beside u3 estate, Lekki, Lagos
•RENTAL VALUE: 6m per unit 
-Agency: 10%
-Legal: 10%
-Caution: 500k per unit(negotiable)","Lekki right, Lagos",Newly-Built,Furnished,Apartment,4 bedrooms,5 bathrooms,"U3 estate, Lekki right, Lagos","700
     
      sqm",,,,,,,,,,,,,,,,
"3bdrm Townhouse / Terrace in Orchid, Lekki for rent", 3000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/3bdrm-townhouse-terrace-in-orchid-lekki-for-rent-sp7leNiGWxQi0mKiINACJyA2.html?page=12&pos=9&cur_pos=9&ads_per_page=21&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=243,"*FOR RENT*
 Located on Orchid road Lekki
3BR Terrace duplex (Fully renovated)
Rent 3M
Agency 300k
Legal 300k
Caution fee 300k
Total 3.9M
Service charge 45k monthly
Power 210Naira per kilowatt
#Alexisa#","Orchid, Lekki",Newly-Built,Unfurnished,Townhouse / Terrace,3 bedrooms,4 bathrooms,Orchid,"200
     
      sqm",,,,,,,,,,,,,,,,
5bdrm Townhouse / Terrace in Lekki Phase 1 for rent, 12000000,"Lekki, Lekki Phase 1",https://jiji.ng/lekki-phase/houses-apartments-for-rent/5bdrm-townhouse-terrace-in-lekki-phase-1-for-rent-kNSMCppJ5MrspCeB3JZCXx6G.html?page=12&pos=12&cur_pos=12&ads_per_page=21&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=246,"5 Bedroom Terrace Duplex with Pool & GYM For Rent
Price: ₦12,000,000
Caution: ₦1,200,000
Legal: ₦1,200,000
Agency: ₦1,200,000
Service Charge: ₦1,500,000
Location: Lekki Phase 1  
Features:
-All Rooms Ensuite
-Jacuzzi
-Fitted Kitchen
-POP Ceiling
-Wardrobe
-Water Treatment
-Walk-in Closet
-Water Heater
-Heat Extractor
-Ample Parking Space
Inquiries II inspection II Purchase II Call
WhatsApp +
Email: 
Website: 
Facebook: 
Instagram: 
LinkedIn: 
Youtube:",Lekki Phase 1,Newly-Built,Unfurnished,Townhouse / Terrace,5 bedrooms,5 bathrooms,,"600
     
      sqm",,,,,,,,,,,,,,,,
4bdrm Duplex in Ikota for Rent, 5000000,"Lekki, Ikota",https://jiji.ng/ikota/houses-apartments-for-rent/4bdrm-duplex-in-ikota-for-rent-mJrG0TxcB73MidjbtLSXkagZ.html?page=12&pos=15&cur_pos=15&ads_per_page=21&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=249,"4bedroom duplex for rent
Rent: 5m
Agency: 10%
Legal: 10%
Caution: 400k
Location: Magamound estate",Magamound estate Lekki,Newly-Built,Semi-Furnished,Duplex,4 bedrooms,4 bathrooms,,"500
     
      sqm",,,,,,,,,,,,,,,,
5bdrm Duplex in Ikota for rent, 5500000,"Lekki, Ikota",https://jiji.ng/ikota/houses-apartments-for-rent/5bdrm-duplex-in-ikota-for-rent-ddbqZC3ZkfqJmh5yW0qpXOky.html?page=12&pos=18&cur_pos=18&ads_per_page=21&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=252,"LAMASH RENT 
5BEDROOM FULLY DETACHED DUPLEX FOR RENT 
Amenities: 
- [ ] Fitted Kitchen 
- [ ] POP Ceiling 
- [ ] Detailed finishing 
- [ ] Wardrobes 
- [ ] Gas cooker 
- [ ] Water Heater
- [ ] Heat extractor
- [ ] Bq 
 
Location: Road 32 Ikota Lekki 
Price: 5.5M Per annum 
Legal : 10percent 
Agency : 10percent 
Caution : 5 percent
Lam",Ikota,Newly-Built,Unfurnished,Duplex,5 bedrooms,5 bathrooms,,"380
     
      sqm",,,,550000,550000,225000,,,,,,,,,,
Furnished 4bdrm Duplex in Lekki by Chevron for Rent, 7000000,"Lekki, Chevron",https://jiji.ng/chevron/houses-apartments-for-rent/furnished-4bdrm-duplex-in-lekki-by-chevron-for-rent-zviFurbNl23SY3eKd3QTeF1a.html?page=12&pos=21&cur_pos=21&ads_per_page=21&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=255,"NEW RENTALS !!
4Bedroom Furnished Semi Detached With a Bq 
Location: Chevron, Lekki
Rent: 7Million per annum
Agency: 10%
Legal: 10%
Refundable Caution: 1million",Chevron lekki,Newly-Built,Furnished,Duplex,4 bedrooms,4 bathrooms,lekki by Chevron roads,"600
     
      sqm",,,,,,,,Pets Allowed,,,,,,,,
"Furnished 4bdrm Duplex in Opposite Lekki, Chevron for rent", 6000000,"Lekki, Chevron",https://jiji.ng/chevron/houses-apartments-for-rent/furnished-4bdrm-duplex-in-opposite-lekki-chevron-for-rent-mIsoJGUnXpBTAfyjr2JHJsYB.html?page=13&pos=3&cur_pos=3&ads_per_page=21&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=258,A Fully Furnished 4 Bedroom Terrace in a serene estate suitable for habitation.,Lekki,Fairly Used,Furnished,Duplex,4 bedrooms,4 bathrooms,Opposite Lekki Paradise,"3600
     
      sqm",,,,,,,,,,,,,,,,
"Furnished 3bdrm Apartment in Hosanah Estate, Ago Palace for rent", 2800000,"Isolo, Ago Palace",https://jiji.ng/ago-palace/houses-apartments-for-rent/furnished-3bdrm-apartment-in-hosanah-estate-ago-palace-for-rent-oHzJrGuYNExxRZLBTnzLFCvE.html?page=13&pos=6&cur_pos=6&ads_per_page=21&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=261,"A brand new standard 3bed room,all room ensuite with water heater and visitors toilet, double balconies,pop, dinning space, wardrobes,floor tiles,prepaid metre, clean water,20 hours power supply in a serene environment and well secured estate,Ago Palace way, logos.",Ago Palace Way,Newly-Built,Furnished,Apartment,3 bedrooms,3 bathrooms,Hosanah Estate,"600
     
      sqm",,,,,,,,,,,,,,,,
"Furnished 4bdrm Duplex in Ogidon Axis, Lekki Expressway for Rent", 3000000,"Lekki, Lekki Expressway",https://jiji.ng/lekki-expressway/houses-apartments-for-rent/furnished-4bdrm-duplex-in-ogidon-axis-lekki-expressway-for-rent-w4KjSjJo25N4Fp9wtgIgmpqU.html?page=13&pos=9&cur_pos=9&ads_per_page=21&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=264,"A lovely brand new 3 bedroom duplex with great features available for rent
well secured
steady electricity
good road 
good ground
clean water",ogidon axis,Newly-Built,Furnished,Duplex,4 bedrooms,5 bathrooms,ogidon axis,"3000
     
      sqm",,,,250000,250000,250000,,Pets Allowed,,,,,,,,
"Furnished 3bdrm Apartment in Oniru Estate, Victoria Island Extension", 8500000,"Victoria Island, Victoria Island Extension",https://jiji.ng/victoria-island-extension/houses-apartments-for-rent/furnished-3bdrm-apartment-in-oniru-estate-victoria-island-extension-333nscSRadqjJGx5qrd1gyAn.html?page=13&pos=12&cur_pos=12&ads_per_page=21&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=267,"Semi Direct brief
TO Let
Standard fully furnished 3 bedroom apartment without bq.
Location: in a mini estate in Oniru Victoria Island Lagos
Rent 8.5m per annum
Service charge : 2m
Diesel 3.5m per annum
Agency 10%
Legal 10%
Caution 500k
 #apartmentrental
#apartmentfonderlagos
#kennyagentlekki#",Oniru,Fairly Used,Furnished,Apartment,3 bedrooms,3 bathrooms,Oniru estate,"200
     
      sqm",,,,,,,,,,,,,,,,
"5bdrm Duplex in Oral Estate, Chevron for rent", 7000000,"Lekki, Chevron",https://jiji.ng/chevron/houses-apartments-for-rent/5bdrm-duplex-in-oral-estate-chevron-for-rent-u9XERzAM5FuSJ5pWB3APJAv4.html?page=13&pos=15&cur_pos=15&ads_per_page=21&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=270,"for rent 
5bedroom fully detached duplex for rent 
amenities: 
- [ ] fitted kitchen with accessories 
- [ ] modern day pop ceiling 
- [ ] detailed finishing 
- [ ] wardrobes 
- [ ] cctv 
- [ ] water heater
- [ ] heat extractor
- [ ] bq 
location: oral estate 
price: 7m per annum (×2)
10 percent agency 
10 percent legal 
10percent caution",Oral estate,Newly-Built,Unfurnished,Duplex,5 bedrooms,5 bathrooms,Oral estate,"300
     
      sqm",,,,,,,,,,,,,,,,
"4bdrm Duplex in Agungi, Lekki for Rent", 5000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/4bdrm-duplex-in-agungi-lekki-for-rent-tWZAHumh7bWHWlfBVMUNMd3h.html?page=13&pos=19&cur_pos=19&ads_per_page=21&ads_count=16604&lid=xGx1kqPTxKiRvrNT&indexPosition=274,"*TO LET IN AGUNGI, LEKKI, LAGOS.*
 *4 bedroom semi detached duplex plus a bq and security house* 
Rent: 5M
Caution fee: 300k
Agency: 10% 
Legal: 10%","Agungi, Lekki",Newly-Built,Semi-Furnished,Duplex,4 bedrooms,5 bathrooms,Agungi,"400
     
      sqm",,,,,,,,,,,,,,,,
