name,price,location,link,Description,Property Address,Estate Name,Property Size,Condition,Furnishing,Attribute_1,Attribute_2,Attribute_3,Service Charge Fee,Service Charge Covers,Agency Fee,Legal and Agreement Fee,Caution Fee,Total Fee,Subtype,Pets,New Property,Total Rooms,Parking Space,Broker Fee,Furnished
"4bdrm Duplex in Osapa, Lekki for Rent", 6500000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/4bdrm-duplex-in-osapa-lekki-for-rent-kGolmxkVOnWfVqIiM8mX3nf1.html?page=14&pos=12&cur_pos=12&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=309,"Ambihomesproperties for rent 
4bedroom semi detached duplex available now 
Location  osapa 
Price 6.5M
Title governor consent 
Features::
Living rooms 
All rooms Ensuit 
Living rooms 
Guest lounge 
fully fitted kitchen 
Inbuilt sound speakers 
Inbuilt speakers 
CCTV 
Green area
24hurs security 
Ample parking space 
Serena environment",Lekki,osapa,,Newly-Built,Unfurnished,Duplex,4 bedrooms,5 bathrooms,,,10,10,10,,,,,,,,
"4bdrm Duplex in Orchid, Lekki for Rent", 6500000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/4bdrm-duplex-in-orchid-lekki-for-rent-AXzGnsk2KMPyGElul4wx5GlZ.html?page=14&pos=14&cur_pos=14&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=311,"Newly built and Spacious 4 bedroom semi detached duplex with BQ,fitted kitchen,en-suite bedrooms etc
Rent: 6.5M
Agency :10%
Legal :10%
Caution :500k
Total package:8.3M
Location  ORCHID LEKKI,LAGOS
Features 
-Spacious living room
-Fitted Kitchen 
-Family lounge 
-En-suite bedroom
- Pop Ceiling
- Interlocked floor 
-Electricity 
-Security 
-Inbuilt Speakers 
-Water heater 
-Walk-in shower
-Jacuzzi 
• 
•","Orchid, Lekki",Orchid,350sqm,Newly-Built,Semi-Furnished,Duplex,4 bedrooms,5 bathrooms,,,,,,,,,,,,,
"4bdrm Duplex in Freedom Way, Lekki Phase 1 for Rent", 5500000,"Lekki, Lekki Phase 1",https://jiji.ng/lekki-phase/houses-apartments-for-rent/4bdrm-duplex-in-freedom-way-lekki-phase-1-for-rent-iEAiODd3aDVqVfSu1CftHokG.html?page=14&pos=18&cur_pos=18&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=315,"Well maintained spacious 4 bedroom flat upstairs available to let in ikate with seeet features
good road interlocked and network
good accessibility and proximity
good electricity
secured environment and clean environment
Clean water supply",ikate,freedom way,3000sqm,Newly-Built,Semi-Furnished,Duplex,4 bedrooms,6 bathrooms,1200000,"diesel for 1yr, security,lawma, cleaning,water treatment and other features",550000,550000,550000,,,Pets Allowed,,,,,
"Furnished 4bdrm Duplex in White Oak Estate, Ologolo for rent", 6500000,"Lekki, Ologolo",https://jiji.ng/ologolo/houses-apartments-for-rent/furnished-4bdrm-duplex-in-white-oak-estate-ologolo-for-rent-1o3cpBdbr6EvYtzww2ZXIRz0.html?page=14&pos=22&cur_pos=22&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=319,"A premium Four bedroom semi detached fully furnished duplex with bq for rent in White Oak Estate off Ologolo road, all rooms ensuite with guest toilet,24 hours light,well paved road, adequate parking, interlocked compound, Pop ceiling, kitchen cabinets,screeded walls,borehole water 
Rent 6.5m
reckn",White Oak Estate,White Oak Estate,380sqm,Fairly Used,Furnished,Duplex,4 bedrooms,5 bathrooms,,,,,,,,,,,,,
"2bdrm Apartment in Salem, Ikate for rent", 4000000,"Lekki, Ikate",https://jiji.ng/ikate/houses-apartments-for-rent/2bdrm-apartment-in-salem-ikate-for-rent-3isc80EmcsIctDSyGCTxVQIa.html?page=15&pos=2&cur_pos=2&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=322,"Brand Newly Built Serviced Luxury 2bedrooms Apartment For Rent
Location: Salem Ikate Lekki Lagos.
Rent: 4M Per annum
Agency: 10%
Legal: 10%
Caution Deposit: 10%
 *Description:*
All Rooms Ensuite
Fitted Kitchen
Dining Area
 Balcony
Beautiful Compound
POP Ceilings
Spacious Rooms
 Interlocked Floor
Beautiful Living Area and lots more
very Secured Neighborhood
 For more information call WhatsApp
Consultant Yunusa (Emm)",Salem,Salem,500sqm,Newly-Built,Semi-Furnished,Apartment,2 bedrooms,2 bathrooms,,,,,,,,,,,,,
4bdrm Duplex in Lekki Phase 1 for rent, 8000000,"Lekki, Lekki Phase 1",https://jiji.ng/lekki-phase/houses-apartments-for-rent/4bdrm-duplex-in-lekki-phase-1-for-rent-hRhg03NTOucuAva13B3vOomU.html?page=15&pos=3&cur_pos=3&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=323,"Fully Serviced Luxury 4Bedrooms Terrace Duplex For Rent
 Location: lekki phase 1, Lagos.

Agency: 10%
Legal: 10%
Caution fee
Service charge month (Paid to the Estate Management)
*Features:*
 Fully serviced 
 All rooms En-suite 
 Ample parking space 
 Serene Environment 
 Accessible Road",lekki phase 1,,600sqm,Renovated,Unfurnished,Duplex,4 bedrooms,4 bathrooms,,,,,,,,,,,,,
5bdrm Duplex in Ikoyi for rent, 18000000,Ikoyi,https://jiji.ng/ikoyi-obalende/houses-apartments-for-rent/5bdrm-duplex-in-ikoyi-for-rent-uqsxyEFTTAsQTSBtUbEkqnBh.html?page=15&pos=7&cur_pos=7&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=327,"*For Rent*
5 Bedroom Semi detached duplex in Ikoyi.
Rent N18m per annum, 2 yrs in advance
Total rent payable = N36m
Agency fee 10% of total rent payable 
Legal fee 5% of total rent payable 
Refundable caution deposit N1m
Annual estate dues- As advised by PVRA.",Ikoyi,,300sqm,Fairly Used,Semi-Furnished,Duplex,5 bedrooms,5 bathrooms,,,,,,,,,,,,,
4bdrm Duplex in Ikate Lekki for rent, 6500000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/4bdrm-duplex-in-ikate-lekki-for-rent-cFeGIFuPo53x2AcwIk2i2kbt.html?page=15&pos=10&cur_pos=10&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=330,"Newly built 4Bedrooms Terrace duplex with excellent facilities in secured estate at Ikate Lekki Lagos is available for rent. 
Annual rent 6.5m
Agency 650k
Legal 650k
Caution 650k
service charge 1million",Ikate Lekki,ikate Lekki,1000sqm,Newly-Built,Unfurnished,Duplex,4 bedrooms,4 bathrooms,,,,,,,,,,,,,
4bdrm Duplex in Osapa for rent, 4500000,"Lekki, Osapa london",https://jiji.ng/osapa-london/houses-apartments-for-rent/4bdrm-duplex-in-osapa-for-rent-BJo7csf2MaYtpkZqIsol6Zzy.html?page=15&pos=12&cur_pos=12&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=332,"4 bedroom semi detached duplex with room Bq 
Location osapa london 
Rent 4.5m
Agency and legal 10% each 
Caution 450k",Osapa London lekki,Osapa,700sqm,Renovated,Unfurnished,Duplex,4 bedrooms,5 bathrooms,,,,,,,,,,,,,
"4bdrm Townhouse / Terrace in Mojisola Onikoyi, Banana Island for rent", 15000000,"Ikoyi, Banana Island",https://jiji.ng/banana-island/houses-apartments-for-rent/4bdrm-townhouse-terrace-in-mojisola-onikoyi-banana-island-for-rent-nFKb91Bh00Vp5cmrLIzTrYDo.html?page=15&pos=15&cur_pos=15&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=335,"HOUSE  TO LET 
A beautiful and elegant 4 bedroom Terraced house. Fully serviced and maintained.
Facilities: ~BQ
~Air conditioner
~Good parking space.
~Spacious living rooms etc.
Location:Mojisola Onikoyi, off Banana Island, Ikoyi 
Rent: 15million per anum
Every other charges will be communicated.
Land size: 750sqm",Ikoyi,Mojisola Onikoyi,700sqm,Fairly Used,Semi-Furnished,Townhouse / Terrace,4 bedrooms,3 bathrooms,,,,,,,,,,,,,
"4bdrm Duplex in Osapa London, Lekki for Rent", 8000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/4bdrm-duplex-in-osapa-london-lekki-for-rent-55A6Vw4KIWprXPzaBJFQDK7b.html?page=15&pos=18&cur_pos=18&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=338,"4 BEDROOM DETACHED DUPLEX FOR RENT ! 
Location:Osapa , Lagos
Other Charges : 
Agency 
Legal 
Caution
Total Package: 
Features
- Secure Estate 
- All Rooms Ensuite 
- Fully Fitted Kitchen
- Stamp Concrete Floor
- 1 BQ
- POP Ceiling
- Water Heater 
- Carport
- Walk-in Shower
- Self Serviced 
• 
•","Osapa London, Lekki",Osapa London,450sqm,Newly-Built,Semi-Furnished,Duplex,4 bedrooms,5 bathrooms,,,,,,,,,,,,,
"5bdrm Duplex in Carltongate Estate, Lekki for Rent", 10000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/5bdrm-duplex-in-carltongate-estate-lekki-for-rent-cEerQHZOqAIunA4EJ7rF3RjK.html?page=15&pos=21&cur_pos=21&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=341,"TOLET:
 Furnished 5bedroom a detached duplex with lounge at Calton Gate Chevron Lekki 
Agency fee 
Agreement","carltongate, Chevron drive, Lekki",Carltongate Estate,450sqm,Fairly Used,Semi-Furnished,Duplex,5 bedrooms,6 bathrooms,,,,,,,,,,,,,
4bdrm Duplex in Ikate for rent, 7000000,"Lekki, Ikate",https://jiji.ng/ikate/houses-apartments-for-rent/4bdrm-duplex-in-ikate-for-rent-2KZ9g0kMo7iIXnDXS1lVFMPl.html?page=16&pos=1&cur_pos=1&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=344,"Fully Serviced Luxury 4bedrooms Terrace House with Pool Gym BQ For Rent
 Location: Ikate Lekki Lagos
Rent : 7m per annum
Serviced charge: 688k
Power is Pay As you Go
Agency fee 10%
Legal fee 10%
cautions deposit 400k
*Amenities:*
24hrs power supply pay as you go
Swimming pool
Gym 
24hrs Security","Ikate, Lekki.",,2000sqm,Newly-Built,Unfurnished,Duplex,4 bedrooms,4 bathrooms,,,,,,,,,,,,,
4bdrm Duplex in Ikota for Rent, 5500000,"Lekki, Ikota",https://jiji.ng/ikota/houses-apartments-for-rent/4bdrm-duplex-in-ikota-for-rent-iRuG97IfCwwNsKpLqfvL9FHD.html?page=16&pos=5&cur_pos=5&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=348,"To let 
Brandnew 4bedroom semi Detached duplex with bq at ikota lekki lagos",ikota lekki lagos,,300sqm,Newly-Built,Semi-Furnished,Duplex,4 bedrooms,4 bathrooms,,,,,,,,Pets Allowed,,,,,
4bdrm Duplex in Magodo 2 for rent, 9000000,Magodo,https://jiji.ng/magodo/houses-apartments-for-rent/4bdrm-duplex-in-magodo-2-for-rent-crxCOUE0A0mgg5BKhTozNJ0e.html?page=16&pos=7&cur_pos=7&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=350,4bedropm dupkex 9m magodo phase 2,Magodo GRA phase 2,Magodo 2,500sqm,Newly-Built,Semi-Furnished,Duplex,4 bedrooms,5 bathrooms,,,,,,,,,,,,,
"4bdrm Townhouse / Terrace in Ikate, Lekki for Rent", 6500000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/4bdrm-townhouse-terrace-in-ikate-lekki-for-rent-igqNzIGlUfRz4pYgz8bg4ebl.html?page=16&pos=10&cur_pos=10&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=353,"4 BEDROOM DETACHED DUPLEX FOR RENT ! 
Location: Ikate , Lagos
 
Price: 6.5m per annum
Other Charges : 
Agency 10%
Legal 10%
Caution: 250k
Service Charge: 840k per annum ( pay as you go) 
Total Package: 8,890,000
Features
- 24 Hours Security
- 24 Hours Electricity 
- Fitted Kitchen 
- All Rooms Ensuite
- Stamp Concrete Floor
- BQ
- POP Ceiling
- Water Heater 
- Walk-in Shower 
- Self Serviced 
•","Ikate, Lekki",Ikate,300sqm,Newly-Built,Semi-Furnished,Townhouse / Terrace,4 bedrooms,5 bathrooms,,,,,,,,,,,,,
"5bdrm Duplex in Banana Island, Ikoyi for Rent", 30000000,Ikoyi,https://jiji.ng/ikoyi-obalende/houses-apartments-for-rent/5bdrm-duplex-in-banana-island-ikoyi-for-rent-626JH46s7Np9DSSd648Dpfp9.html?page=16&pos=14&cur_pos=14&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=357,"*to let in banana island, ikoyi, lagos* 
perfectly maintained 5 bedroom semi-detached duplex with 2 room bq for rent in banana island estate, ikoyi.
swimming pool
contemporary design
2 room bq
self compound
standby generator 
all acs
etc. 
rent... ₦30m per year. 2yrs rent required 
legal... 5%
agency... 10%","Banana Island, Ikoyi",Banana Island,450sqm,Newly-Built,Semi-Furnished,Duplex,5 bedrooms,5 bathrooms,,,,,,,,,,,,,
1bdrm Apartment in 1 Bedroom Apartment for rent, 2500000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/1bdrm-apartment-in-1-bedroom-apartment-for-rent-zENrEbhIDxN5ZLCTiBrEVyfb.html?page=16&pos=16&cur_pos=16&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=359,"Discover serene living in the heart of Lekki! This 1 bedroom ensuite apartment located at 15 Dapo Solanke Close offers a peaceful retreat in a lovely and quiet neighborhood.
Features:
1 Bedroom Ensuite
Tranquil environment
Convenient location
Rent:
Service Charge: 
Don't miss out on this opportunity! For inquiries and viewing arrangements, call
Contact Details:
 Call
Experience comfort and convenience in Lekki – call now!",15 dapo solanke close lekki phase 1,1 bedroom Apartment For Rent in Lekki Phase 1,30sqm,Renovated,Semi-Furnished,Apartment,1 bedroom,1 bathroom,400000,,,,,,,,,,,,
4bdrm Duplex in Lekki for rent, 5000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/4bdrm-duplex-in-lekki-for-rent-ujGn80T7vgqMCUrU9t6o4mLQ.html?page=16&pos=20&cur_pos=20&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=363,"Spacious 4Bedroom semi detached Duplex with bq & Good Power Supply for Rent 
Location: Lekki 2nd Toll Gate, Lekki.
Rent: 5M
Legal: 10%
Agency: 10%
Caution: 400k
Service Charge: 60k monthly
Features:
Neatly Finished
All Rooms Ensuite
Massive Living Room
Massive Masters Bedroom
Quality Spanish Tiles
Parking Space for 3 cars
Interlocked Floor 
Secured Area
Serene Environment.
Water Heaters.
Pop Ceiling
Walk-In Shower",Lekki second toll gate,,600sqm,Newly-Built,Semi-Furnished,Duplex,4 bedrooms,4 bathrooms,,,,,,,,,,,,,
"5bdrm Duplex in Vgc, Lekki for Rent", 7000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/5bdrm-duplex-in-vgc-lekki-for-rent-B4zx1QCe5AuC6z3cm63qs0W9.html?page=16&pos=23&cur_pos=23&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=366,"5 bedroom fully detached duplex with 2 rooms BQ in VGC.
Rent: 7m
Agency: 10%
Agreement 10%
Caution 5%","VGC , Ikota, Lekki",VGC,650sqm,Newly-Built,Semi-Furnished,Duplex,5 bedrooms,5 bathrooms,,,,,,,,,,,,,
5bdrm Duplex in VGC / Ajah for rent, 15000000,"Ajah, VGC / Ajah",https://jiji.ng/ajah-vgc/houses-apartments-for-rent/5bdrm-duplex-in-vgc-ajah-for-rent-pQUXsMFIvzaQnZXwRfrRFc6i.html?page=17&pos=2&cur_pos=2&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=368,"Brand new 5 bedroom semidetached duplex with guest toilet, fitted kitchen, bq, swimming pool, rooftop terrace, 2 living rooms in Lakeview Park Estate opposite VGC Lagos for rent at 15 per annum","lake view estate, VGC, lekki.",,600sqm,Newly-Built,Unfurnished,Duplex,5 bedrooms,5 bathrooms,,,,,,,,,,,,,
Furnished 3bdrm Maisonette in Banana Island Ikoyi for rent, 25000000,"Ikoyi, Banana Island",https://jiji.ng/banana-island/houses-apartments-for-rent/furnished-3bdrm-maisonette-in-banana-island-ikoyi-for-rent-2tyXhEW8YO22943DragW4VXE.html?page=17&pos=6&cur_pos=6&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=372,"1FOR RENT!!
3Bedroom Furnished Maisonette 
Location: Banana Island, ikoyi Lagos.
RENT :25Million Niara
Agency: 10%
Legal : 10%
Caution : 
Service charge/Power deposit:
 Features:
- 24hrs Power
- All Rooms Ensuite
- Fitted Kitchen
- Fully Furnished 
- Pop Ceiling
- Water Heater
- Water Treatment 
- Walking Shower
- 24 Hours Security",Ikoyi,Banana Island Ikoyi,580sqm,Newly-Built,Furnished,Maisonette,3 bedrooms,3 bathrooms,,,,,,,Detached,,,,,,
4bdrm Duplex in Gra for rent, 15000000,"Ikeja, Ikeja GRA",https://jiji.ng/ikeja-gra/houses-apartments-for-rent/4bdrm-duplex-in-gra-for-rent-dEI1Kw6MtfRZwSYL8CdMt37k.html?page=17&pos=8&cur_pos=8&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=374,"4 BEDROOM DETACHED DUPLEX WITH A STUDY AND A BQ FOR RENT.
New House.
Location: Ikeja Gra lagos 

Features;
- All rooms en-suite 
- Anteroom 
- Self service 
- Security House
- Spacious living room 
- Balconies 
- Laundry 
- Family lounge
- Water heater
- Fitted kitchen 
-Walk-in closet’s 
- Shower cubicles 
- Borehole 
- 1Bq",GRA,Gra,200sqm,Newly-Built,Unfurnished,Duplex,4 bedrooms,4 bathrooms,3500000,,10,10,100000,100020,,,,,,,
5bdrm Duplex in Bera Estate Chevron for rent, 7000000,"Lekki, Chevron",https://jiji.ng/chevron/houses-apartments-for-rent/5bdrm-duplex-in-bera-estate-chevron-for-rent-z0EFXETx1G0Mi28zDImFKG9B.html?page=17&pos=12&cur_pos=12&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=378,"*available for rent*
brand new 5 bedroom fully detached duplex with bq
chevron 
rent: 7m
legal: 10%
agency: 10%
caution fee: 10%
*total  9.1m*",BERA ESTATE CHEVRON LEKKI LAGOS,BERA ESTATE CHEVRON LEKKI LAGOS,500sqm,Newly-Built,Semi-Furnished,Duplex,5 bedrooms,5 bathrooms,,,,,,,,,,,,,
4bdrm Duplex in Lekki for Rent, 6500000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/4bdrm-duplex-in-lekki-for-rent-iSZZrQ5e1RPq3fhS3zDrbHKS.html?page=17&pos=15&cur_pos=15&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=381,"Brand new 4 bedroom detached duplex with bq for rent around admiralty lekki phase1.
Agency fee: 10%
caution fee: 10%",Lekki Phase 1,,,,Unfurnished,Duplex,4 bedrooms,5 bathrooms,,,,,,,,,,,,,
"4bdrm Duplex in Ikate, Lekki for Rent", 5000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/4bdrm-duplex-in-ikate-lekki-for-rent-mlr7CmLBdSRLGhPvM0ANFgkk.html?page=17&pos=18&cur_pos=18&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=384,Newly Renovated 4Bedrooms Terrace duplex with excellent facilities in secured estate at Ikate is available for rent.,ikate,ikate,1000sqm,Fairly Used,Unfurnished,Duplex,4 bedrooms,4 bathrooms,,,,,,,,Pets Allowed,,,,,
"4bdrm Duplex in Idado, Lekki for Rent", 4500000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/4bdrm-duplex-in-idado-lekki-for-rent-kBMaqtA7OTi7BOdh6Tb3TU3E.html?page=17&pos=21&cur_pos=21&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=387,"For Rent 
 Idado, Lekki","Idado, Lekki",Idado,400sqm,Fairly Used,Semi-Furnished,Duplex,4 bedrooms,5 bathrooms,,,,,,,,,,,,,
"1bdrm Apartment in Lakeview Estate, Lekki for rent", 800000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/1bdrm-apartment-in-lakeview-estate-lekki-for-rent-wK0tC9wWWi2GCIYDe1ZtTar4.html?page=18&pos=1&cur_pos=1&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=390,"Needhomes For Rent
BQ it comes with AC, TV in orchid 
Rent: 800k
Legal fee: 10%
Agency fee: 10%
Caution: 140k","Orchid, lekki",Lakeview estate,300sqm,Fairly Used,Semi-Furnished,Apartment,1 bedroom,1 bathroom,,,,,,,,,,,,,
4bdrm Duplex in Ikota Estate for Rent, 4000000,"Lekki, Ikota",https://jiji.ng/ikota/houses-apartments-for-rent/4bdrm-duplex-in-ikota-estate-for-rent-fpwWl4kMOMqNw5tkm4KPouIq.html?page=18&pos=4&cur_pos=4&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=393,"4 Bedroom Terrace Duplex in Ikota Estate 
Pay and parking apartment Good Road Network 
 Serene and Secured Environment
 Constant water and power supply 24hrs Power supply Pre paid meter 
One Year rent Required Enough Parking Space contact backup property consult today for any of the following service. inspection of this property, management of our properties, sales and rents of properties anywhere, building construction, renovation/rebranding of properties, structural and architectural designs valuation of properties, 	 Office; - 1 tijani ashogbon street ilaje akoka lagos or 3 shogunle street abule onigbago behind etiebert place ikeja.",ikota,Ikota estate,600sqm,Newly-Built,Semi-Furnished,Duplex,4 bedrooms,5 bathrooms,,,,,,,,,,,,,
4bdrm Duplex in Victoria Island Extension for rent, 11500000,"Victoria Island, Victoria Island Extension",https://jiji.ng/victoria-island-extension/houses-apartments-for-rent/4bdrm-duplex-in-victoria-island-extension-for-rent-B3QAUeEr3SX8ZBAaNoN92pZr.html?page=18&pos=7&cur_pos=7&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=396,"This property is self service so no Service Charge. 4 bedroom, Oniru",Oniru,,500sqm,Newly-Built,Semi-Furnished,Duplex,4 bedrooms,4 bathrooms,,,,,,,,,,,,,
4bdrm Townhouse / Terrace in Ikota Villa for rent, 4500000,"Lekki, Ikota",https://jiji.ng/ikota/houses-apartments-for-rent/4bdrm-townhouse-terrace-in-ikota-villa-for-rent-mlaJxXfU6UOrXzrP9YTaZyll.html?page=18&pos=10&cur_pos=10&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=399,"Direct 
We have 4Bedroom Terrace Duplex
Rent is 4.5m 
Caution fee 500k 
Agency 10%
Legal 10%
Service charge 85k
Location: Ikota ,Lekki Lagos 
Comes with with Dstv
Gym center 
omosholaowolabilevel...",ikota villa lekki eti-osa,ikota villa,600sqm,Newly-Built,Unfurnished,Townhouse / Terrace,4 bedrooms,4 bathrooms,,,,,,,,,,,,,
4bdrm Duplex in Lekki for rent, 10000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/4bdrm-duplex-in-lekki-for-rent-BatackPSvKwjEJqwrLuDX47N.html?page=18&pos=13&cur_pos=13&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=402,"TO LET !! 4 BEDROOM SEMI DETACHED DUPLEX FOR RENT! 
Location:  2nd Toll Gate , lekki Lagos
Rent: 10m, per annum
Other charges:
- Agency 10%
- Legal. 10%
- Caution 10%
- Total package : 13m
Features
- Secure Estate
- All Rooms Ensuite
- Inbuilt Speakers
- Fitted kitchen
- Pop Ceiling
-Carport
- Swimming Pool
- Water heater
- Walk-in-Shower
- Jacuzzi
- Stamp concrete floor
- Secure Estate",Orchid road,,250sqm,Newly-Built,Unfurnished,Duplex,4 bedrooms,5 bathrooms,,,1000000,1000000,1000000,3000000,,,,,,,
"6bdrm Duplex in Lfz Tiye, Lekki Free Trade Zone for rent", 3500000,"Lekki, Lekki Free Trade Zone",https://jiji.ng/lekki-free-trade-zone/houses-apartments-for-rent/6bdrm-duplex-in-lfz-tiye-lekki-free-trade-zone-for-rent-5urd09VVXzYLSCgWy7RlBVba.html?page=18&pos=16&cur_pos=16&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=405,"Newly built 6 bedroom duplex which has 2 sitting room all en-suite... 4 fully finished rooms with wardrobe, dressing mirror, bed frame, mattress and chair... 1 fully furnished sitting room with Tv selve, center table, center rug, situated at lekki free zone Tiye. Neighborhoods : Lekki Free Zone, Dangote Refinery, Lekki Sea Port, * Amen estate phase 1 and 2 * Beachwood estate * Pan Atlantic university ibeju lekki * Eleganza industrial scheme * Idera scheme * Lakowe golf course proximity to everything you can ever think of around lagos is guaranteed from this location make the call now don't procrastinate contact us080XXXXXXXX","No 2, Oju-Agbe, Tiye, ibeju lekki, lagos",LFZ TIYE,332sqm,Newly-Built,Semi-Furnished,Duplex,6 bedrooms,7 bathrooms,,,,,,,,,,,,,
Furnished 5bdrm Duplex in Lekki Phase One for Rent, 12000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/furnished-5bdrm-duplex-in-lekki-phase-one-for-rent-3q3Z2VLlBNEs4Vsl8KhKVI0L.html?page=18&pos=19&cur_pos=19&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=408,"FOR RENT 5 BEDROOM DETACHED DUPLEX WITH 2 ROOMS BQ BQ WITHIN A SERENE NEIGHBOURHOOD (Suitable for Residential or Commercial)
Location: Lekki PHASE 1, Lagos 
 Price: N12M per year (2years required)
Other charges:
- Agency: 10%
- Legal: 10%
- Caution: 10%
Features:
- All rooms ensuite 
- Fitted kitchen 
- 2rooms bq 
- Stamp concrete floor 
- 24hrs security
- carpark of 4
- Shower cubicles 
- Balconies
- water heaters
-water treatment plant
- Dining area 
•",Lekki Phase one,Lekki Phase one,1000sqm,Fairly Used,Furnished,Duplex,5 bedrooms,5 bathrooms,,,,,,,,,,,,,
5bdrm Duplex in Lekki for rent, 7000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/5bdrm-duplex-in-lekki-for-rent-x6I7ovCh4u0YXw9YlPjkd2aR.html?page=18&pos=22&cur_pos=22&ads_per_page=23&ads_count=15793&lid=SzDhW0jYmZXDa8ZH&indexPosition=411,"To let !! || 5bed ||  osapa london lekki ||
5bedroom fully detached duplex for rent
location :  osapa london lekki
rent: per annum
other charges :
legal: 10%
agency: 10%
caution: 10%
total package
h:
- built with interior
- water heater
- jacuzzi
- marble tiles
- en-suite rooms
- gas cooker
- in built heat extractor
- microwave
- * garden
- sunlight view",Osapa London,,300sqm,Newly-Built,Unfurnished,Duplex,5 bedrooms,6 bathrooms,,,,700000,700000,,,,,,,,
