name,price,location,link,Description,Property Address,Estate Name,Property Size,Condition,Furnishing,Attribute_1,Attribute_2,Attribute_3,Service Charge Fee,Service Charge Covers,Agency Fee,Legal and Agreement Fee,Caution Fee,Total Fee,Subtype,New Property,Total Rooms,Parking Space,Broker Fee,Furnished,Pets
"2bdrm Duplex in Lekki Peninsula 2, Ajah for rent", 3000000,Ajah,https://jiji.ng/ajah/houses-apartments-for-rent/2bdrm-duplex-in-lekki-peninsula-2-ajah-for-rent-1H9hf8OdGQKvGZWJa2KUOe1E.html?page=26&pos=2&cur_pos=2&ads_per_page=23&ads_count=15800&lid=Xg7o-UQzyIZWjCuu&indexPosition=573,"Solo FOR RENT! 
BRAND NEW 2 BEDROOM TERRACE DUPLEX WITH SPACIOUS BQ FOR RENT.
Location: Lekki peninsula 2 By Abraham Adesanya Ajah Lagos 
Rent: 3m per annum 
Agency: 10%
Legal: 10%
Caution: 350k
Service charge:370k per annum 
Features;
- All rooms en-suite 
- ⁠24hrs security 
- ⁠Fitted kitchen 
- ⁠Pantry
- ⁠Pop ceiling 
- ⁠Family lounge 
- ⁠Shower cubicles 
- ⁠Walk-in closet’s 
- ⁠Balcony 
- ⁠1Bq
- ⁠Water heater 
- ⁠Borehole 
•",Abraham Adesanya,Lekki peninsula 2,"300
     
      sqm",Newly-Built,Semi-Furnished,Duplex,2 bedrooms,2 bathrooms,,,,,,,,,,,,,
Furnished 4bdrm Duplex in Ikota Gra for Rent, 5500000,"Lekki, Ikota",https://jiji.ng/ikota/houses-apartments-for-rent/furnished-4bdrm-duplex-in-ikota-gra-for-rent-f1JEhaYaHo4UUVbcya0sgF5t.html?page=26&pos=5&cur_pos=5&ads_per_page=23&ads_count=15800&lid=Xg7o-UQzyIZWjCuu&indexPosition=576,"4BEDROOM SEMI-DETACHED DUPLEX FOR RENT 
Amenities: 
- [ ] Fitted Kitchen 
- [ ] POP Ceiling 
- [ ] Detailed finishing 
- [ ] Wardrobes 
- [ ] Jacuzzi 
- [ ] CCTV 
- [ ] Gas cooker 
- [ ] Water Heater
- [ ] Heat extractor
- [ ] Bq 
 
Location:Ikota Gra Lekki 

Legal : 10percent 
Agency : 10percent 
Caution : 5 percent",4BEDROOM SEMI-DETACHED DUPLEX FOR RENT   Amenities:  - [ ] F,Ikota Gra,"250
     
      sqm",Newly-Built,Furnished,Duplex,4 bedrooms,5 bathrooms,,,,,,,,,,,,,Pets Allowed
"6bdrm Duplex in Majek Estate, Ajah for rent", 3500000,Ajah,https://jiji.ng/ajah/houses-apartments-for-rent/6bdrm-duplex-in-majek-estate-ajah-for-rent-eZHPWnbnYnrv2m8T0hLi8Dm4.html?page=26&pos=8&cur_pos=8&ads_per_page=23&ads_count=15800&lid=Xg7o-UQzyIZWjCuu&indexPosition=579,Brand new 6 bedroom fully detached duplex at Majek sangotedo.,sangotedo,Majek estate,"600
     
      sqm",Newly-Built,Semi-Furnished,Duplex,6 bedrooms,6 bathrooms,,,350000,350000,350000,1050000,,,,,,,
"4bdrm Duplex in Chevron, Lekki for rent", 6000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/4bdrm-duplex-in-chevron-lekki-for-rent-mkTMzYvp4fkyMppgPNZR0IX0.html?page=26&pos=11&cur_pos=11&ads_per_page=23&ads_count=15800&lid=Xg7o-UQzyIZWjCuu&indexPosition=582,"To let
 4 bedroom semi detached duplex for rent! ( suitable for commercial )
location: chevron , lagos
rent: 6m per annum ( 2 years upfront payment )
other charges:
- agency 10%
- legal. 10%
- caution 500k
- total package : 14,900,000
features
- 24 hours security
- all rooms ensuite
- fully fitted kitchen
- pop ceiling
- water heater
- inbuilt speakers
- walk-in-shower
- bathtub
- bq
- interlocked floor
- self serviced",Chevron,Chevron,"200
     
      sqm",Newly-Built,Unfurnished,Duplex,4 bedrooms,5 bathrooms,,,600000,600000,500000,,,,,,,,
"4bdrm Duplex in Ikota, Lekki for rent", 6500000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/4bdrm-duplex-in-ikota-lekki-for-rent-uo6f1ZibwC0Cr2onwqBVpTvM.html?page=26&pos=14&cur_pos=14&ads_per_page=23&ads_count=15800&lid=Xg7o-UQzyIZWjCuu&indexPosition=585,"*semi direct letting *
for rent: lovely 4 bedroom fully detached duplex with bq
ikota, lekki, lagos
 rent: n6.5million 
agency : 10% 
legal: 10%
caution: 500k
total package: n8.3million
amenities:
- one boy’s quarter 
- ante room
- automated gate
- modern toilet wares
- self serviced
- exquisite finishing 
- fitted kitchen 
- inbuilt gas cooker
- spacious master’s bedroom 
- good interior 
- ample car parking space",Ikota,Ikota,"200
     
      sqm",Newly-Built,Unfurnished,Duplex,4 bedrooms,5 bathrooms,,,650000,650000,500000,,,,,,,,
4bdrm Townhouse / Terrace in Vgc Lekki for rent, 4500000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/4bdrm-townhouse-terrace-in-vgc-lekki-for-rent-BhJvH3L0tqiW5KY7PGIus4Lp.html?page=26&pos=17&cur_pos=17&ads_per_page=23&ads_count=15800&lid=Xg7o-UQzyIZWjCuu&indexPosition=588,"TO LET !! 4BED ||  Vgc lekki 
4 BEDROOM TERRACE DUPLEX FOR RENT! 
Location:  Harris drive VGC, lekki Lagos 
Rent: 4.5m per annum
Other charges:
- Agency 10%
- Legal. 10%
- Caution 200k
- Service Charge: 50k monthly ( pay as you go)
Features
- 24 Hours Security
- 18 Hours Electricity
- All Rooms Ensuite
- Fully Fitted Kitchen
- Pop Ceiling
- Water Heater
- Walk-in-Shower
- Interlocked Floor
- Serviced",VGC,VGC Lekki,"1000
     
      sqm",Newly-Built,Unfurnished,Townhouse / Terrace,4 bedrooms,5 bathrooms,50000,,450000,450000,200000,1100000,Semi-Detached,,,,,,
"4bdrm Duplex in Chevron, Lekki for Rent", 4500000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/4bdrm-duplex-in-chevron-lekki-for-rent-5Bo6gq8J8vXSrJOp3S0P2CIZ.html?page=26&pos=20&cur_pos=20&ads_per_page=23&ads_count=15800&lid=Xg7o-UQzyIZWjCuu&indexPosition=591,"TO LET 
4 BEDROOM TERRACE DUPLEX 24HRS POWER SUPPLY , SWIMMING POOL.
Location: Chevron, Lekki Lagos 
Rent: .4.5M per year 
Other charges:
Service charge: 45k monthly 
Features:
- All Rooms Ensuite 
- 24hrs security 
- 24hrs electricity 
- Swimming pool 
- Gym
- Cctv cameras 
- Industrial borehole 
- Family Lounge 
- Bluetooth speakers 
- Fitted kitchen 
- Water Heater 
For more information and physical inspection Call/Wh",chevron Estate,chevron,"1000
     
      sqm",Newly-Built,Unfurnished,Duplex,4 bedrooms,4 bathrooms,,,,,,,,,,,,,
4bdrm Duplex in Lekki for rent, 5000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/4bdrm-duplex-in-lekki-for-rent-8ZpH7SKHXmHbomXDfch1QqKx.html?page=26&pos=22&cur_pos=22&ads_per_page=23&ads_count=15800&lid=Xg7o-UQzyIZWjCuu&indexPosition=593,"We have a beautiful 4 bedroom semi detached duplex for rent in a serene location.
Service charge:600,000
Caution:10%
Agency:10%
Agreement:10%","Orchid road , Lagos",,"350
     
      sqm",Newly-Built,Semi-Furnished,Duplex,4 bedrooms,4 bathrooms,,,,,,,,,,,,,
"1bdrm Apartment in Atlantic View Estate, Lekki for rent", 2000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/1bdrm-apartment-in-atlantic-view-estate-lekki-for-rent-xcla2bnb8liKYurZh2tueF27.html?page=27&pos=2&cur_pos=2&ads_per_page=23&ads_count=15800&lid=Xg7o-UQzyIZWjCuu&indexPosition=596,Brand new 1 bedroom apartment in lekki 2m rent fully serviced,"Igbo efon, lekki",Atlantic view estate,"300
     
      sqm",Newly-Built,Semi-Furnished,Apartment,1 bedroom,1 bathroom,,,,,,,,,,,,,
4bdrm Duplex in Victoria Island for rent, 15000000,Victoria Island,https://jiji.ng/victoria-island/houses-apartments-for-rent/4bdrm-duplex-in-victoria-island-for-rent-BXgHdvDJcW4RfvQdH35xmZTT.html?page=27&pos=5&cur_pos=5&ads_per_page=23&ads_count=15800&lid=Xg7o-UQzyIZWjCuu&indexPosition=599,"TO LET
4BEDROOM Semi Detached Duplex with 2Shops 
NOTE:
Both for residential and Commercial use 
Location: Oniru
Rent - 15M
Agency fee: 10%
Legal fee: 10%
Refundable Caution fee: 10%",oniru,,"500
     
      sqm",Newly-Built,Unfurnished,Duplex,4 bedrooms,5 bathrooms,,,,,,,,,,,,,
3bdrm Duplex in Lekki Gardens Estate for rent, 4500000,"Ajah, Lekki Gardens Estate",https://jiji.ng/lekki-gardens-estate/houses-apartments-for-rent/3bdrm-duplex-in-lekki-gardens-estate-for-rent-fZ7PKqYJxfNKFb0YX1nrlS9K.html?page=27&pos=9&cur_pos=9&ads_per_page=23&ads_count=15800&lid=Xg7o-UQzyIZWjCuu&indexPosition=603,"Available for rent at Orchid Road 
3bedroom duplex comes with 24hrs power yes 24hrs in this period 
Swimming pool 
Gym etc 
Rent 4.5m 
Alc 10% each",Orchid Road,,"300
     
      sqm",Newly-Built,Unfurnished,Duplex,3 bedrooms,3 bathrooms,,,,,,,,,,,,,
"4bdrm Townhouse / Terrace in Ikate, Lekki for Rent", 6000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/4bdrm-townhouse-terrace-in-ikate-lekki-for-rent-2Y2tSUwYNXit8TkVV4tAyCXR.html?page=27&pos=12&cur_pos=12&ads_per_page=23&ads_count=15800&lid=Xg7o-UQzyIZWjCuu&indexPosition=606,"*still availabile to let*
4 bedroom well finished & furnished terrace + 1 room bq.
location:in a secured serviced estate on gbangbala road, ikate lekki.
rent: furnished: n8m
 : unfurnished n6m
features:
*well furnished
* fitted kitchen
* 24 hours light
* swimming pool
*gym
pearlcity","Gbangbala Road, Ikate, Lekki.",Ikate,"350
     
      sqm",Newly-Built,Semi-Furnished,Townhouse / Terrace,4 bedrooms,5 bathrooms,,,,,,,,,,,,,
3bdrm Apartment in Lekki for rent, 15000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/3bdrm-apartment-in-lekki-for-rent-1zF1JIBCnzYWfTdUM5FCfXj7.html?page=27&pos=15&cur_pos=15&ads_per_page=23&ads_count=15800&lid=Xg7o-UQzyIZWjCuu&indexPosition=609,"FOR RENT! 
Lovely 3 Bedroom Apartment
Location- Ikoyi, Lagos 
Service Charge - Undecided
Caution - 10%
Agency - 10% 
Legal - 10%
Property Features: 
- [x] Room ensuite 
- [x] Visitors toilet 
- [x] Fitted Kitchen
- [x] Very Secured Estate 
- [x] 24hrs Security
‐ [x] Swimming Pool
- [x] Balcony
- [x] Ample Parking Space 
- [x] Wardrobe 
- [x] Kitchen cabinet
For more information and enquiries 
#shelterforyouproperties #lekkirealtor #lekkiagent #luxuryhousesforsale #homebuyers #firsttimehomebuyer #realestateagent #4bedroomfullydetachedduplexforsale #5bedroomfullydetachedduplexforsale #lagosrealestate #propertyagents #explorerealestate #explorepage #viralpost #ukrealestateinvestment #newsupdate #blogs #3bedroomforrent #apartmentforrent #househunting #housesearch",Ikoyi,,"500
     
      sqm",Newly-Built,Semi-Furnished,Apartment,3 bedrooms,3 bathrooms,,,,,,,,,,,,,
3bdrm Maisonette in Ikate for rent, 5500000,"Lekki, Ikate-Elegushi",https://jiji.ng/ikate-elegushi/houses-apartments-for-rent/3bdrm-maisonette-in-ikate-for-rent-3v2WyrJbUkY1wAk39zAFh7i8.html?page=27&pos=18&cur_pos=18&ads_per_page=23&ads_count=15800&lid=Xg7o-UQzyIZWjCuu&indexPosition=612,"3 bedroom maisonette
 Rent: 5.5M
Legal, Caution & Agency: 10% each",Ikate Elegushi Lekki,Ikate,"400
     
      sqm",Newly-Built,Unfurnished,Maisonette,3 bedrooms,3 bathrooms,,,550000,550000,550000,1650000,Semi-Detached,,,,,,
4bdrm Duplex in Lekki for rent, 10000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/4bdrm-duplex-in-lekki-for-rent-BatackPSvKwjEJqwrLuDX47N.html?page=27&pos=21&cur_pos=21&ads_per_page=23&ads_count=15800&lid=Xg7o-UQzyIZWjCuu&indexPosition=615,"TO LET !! 4 BEDROOM SEMI DETACHED DUPLEX FOR RENT! 
Location:  2nd Toll Gate , lekki Lagos
Rent: 10m, per annum
Other charges:
- Agency 10%
- Legal. 10%
- Caution 10%
- Total package : 13m
Features
- Secure Estate
- All Rooms Ensuite
- Inbuilt Speakers
- Fitted kitchen
- Pop Ceiling
-Carport
- Swimming Pool
- Water heater
- Walk-in-Shower
- Jacuzzi
- Stamp concrete floor
- Secure Estate",Orchid road,,"250
     
      sqm",Newly-Built,Unfurnished,Duplex,4 bedrooms,5 bathrooms,,,1000000,1000000,1000000,3000000,,,,,,,
"3bdrm Duplex in By Lagos Business, Ajah for rent", 3000000,Ajah,https://jiji.ng/ajah/houses-apartments-for-rent/3bdrm-duplex-in-by-lagos-business-ajah-for-rent-BYeDZiLBjSgpKtgj1RdPgc7R.html?page=28&pos=1&cur_pos=1&ads_per_page=23&ads_count=15800&lid=Xg7o-UQzyIZWjCuu&indexPosition=618,"Solo FOR RENT ! 
3 BEDROOM TERRACE DUPLEX FOR RENT.
Location: Lagos Business School Ajah Lagos
Rent: 3M Per Annum 
Agency fee: 10%
Legal fee: 10%
Caution: 250k 
Features;
- All rooms en-suite 
- 24hrs security 
- Industrial borehole 
- Shower cubicles 
- Water heater 
- Dinning area 
- Fitted kitchen 
- walk-in closet’s 
•",Ajah,By Lagos business school,"300
     
      sqm",Newly-Built,Semi-Furnished,Duplex,3 bedrooms,3 bathrooms,,,,,,,,,,,,,
"5bdrm Duplex in Secured Estate, Banana Island for rent", 70000000,"Ikoyi, Banana Island",https://jiji.ng/banana-island/houses-apartments-for-rent/5bdrm-duplex-in-secured-estate-banana-island-for-rent-Cx4CaelMXePb0UOBcj8G0SV6.html?page=28&pos=4&cur_pos=4&ads_per_page=23&ads_count=15800&lid=Xg7o-UQzyIZWjCuu&indexPosition=621,"FOR LEASE: IN BANANA ISLAND:*
Exquisitely built luxurious 5 bedroom (all ensuite) fully detached houses with lavishly spacious master's and madam's bedrooms
Ante, 
Living room,
Family lounge
Elevator, 
Large fully fitted kitchen,
1 room bq
Solar power as backup etc.
Located in a mini estate of 5 units in banana island Ikoyi .
 
Rent: N70m per annum
... $+h•°",Banana Island,Secured estate,"500
     
      sqm",Newly-Built,Unfurnished,Duplex,5 bedrooms,7 bathrooms,,,,,,,,,,,,,
3bdrm Apartment in Victoria Island for rent, 12000000,Victoria Island,https://jiji.ng/victoria-island/houses-apartments-for-rent/3bdrm-apartment-in-victoria-island-for-rent-rHXpgSEj7v7oj1giYZByTBQk.html?page=28&pos=7&cur_pos=7&ads_per_page=23&ads_count=15800&lid=Xg7o-UQzyIZWjCuu&indexPosition=624,"Serviced 3 Bedroom apartment Off Ajose Adeogun, Victoria Island.
Rent: 12M
Agency:10%
Legal:10%
Caution: 1M
Service Charge: 1.4M
Features:
*Living room
*Dinning Area
*Wardrobes
*Elevator
*Swimming pool
*Gym
*Security Cameras
*24hrs Power.",Vi,,"300
     
      sqm",Fairly Used,Semi-Furnished,Apartment,3 bedrooms,3 bathrooms,1400000,,10,10,500000,500020,,,,,,,
"6bdrm Duplex in Olori Mojishola Off, Old Ikoyi for rent", 25000000,"Ikoyi, Old Ikoyi",https://jiji.ng/old-ikoyi/houses-apartments-for-rent/6bdrm-duplex-in-olori-mojishola-off-old-ikoyi-for-rent-uW7dokWYxkhRKKNRFBKIuIMj.html?page=28&pos=10&cur_pos=10&ads_per_page=23&ads_count=15800&lid=Xg7o-UQzyIZWjCuu&indexPosition=627,6 bedroom duplex new house all room ensult with swimming pool GYM chinema @ olori mojishola off banana road price 25million,Olori mojishola off banana road,Olori mojishola off banana road,"700
     
      sqm",Newly-Built,Semi-Furnished,Duplex,6 bedrooms,6 bathrooms,,,5,5,500,510,,,,,,,
"4bdrm Townhouse / Terrace in Chevron Alternative, Lekki for Rent", 4000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/4bdrm-townhouse-terrace-in-chevron-alternative-lekki-for-rent-paYctIa0lMBCOt1kYf3FFDqw.html?page=28&pos=13&cur_pos=13&ads_per_page=23&ads_count=15800&lid=Xg7o-UQzyIZWjCuu&indexPosition=630,"Direct brief :: fully service 4 bedroom terrace duplex with private parking space in a court inside estate (Tulips) chevron alternative
Rent 4m 
Agency. 10%
Legal 10%
Caution 200k
S/charge 450k","chevron alternative, Lekki",chevron alternative,"350
     
      sqm",Newly-Built,Semi-Furnished,Townhouse / Terrace,4 bedrooms,5 bathrooms,,,,,,,,,,,,,
Furnished 2bdrm Apartment in Ago Palace for rent, 2000000,"Isolo, Ago Palace",https://jiji.ng/ago-palace/houses-apartments-for-rent/furnished-2bdrm-apartment-in-ago-palace-for-rent-3hxq9qPqju4Vtr6Z7Ki46LIW.html?page=28&pos=16&cur_pos=16&ads_per_page=23&ads_count=15800&lid=Xg7o-UQzyIZWjCuu&indexPosition=633,"Newly built 2 bedroom flat with all room ensuite
Nice Serene environment
Pop ceiling
Call me or chat me on WhatsApp081XXXXXXXX",26 Godwin obasi,,"685
     
      sqm",Newly-Built,Furnished,Apartment,2 bedrooms,2 bathrooms,85000,"Security bills,lawma, cleaning of the compound, maintenance for the pumping machine for one year",200000,200000,100000,500000,,,,,,,
4bdrm Duplex in Ikota for rent, 6500000,"Lekki, Ikota",https://jiji.ng/ikota/houses-apartments-for-rent/4bdrm-duplex-in-ikota-for-rent-l2YUn75STFGaIhJsT7gDyWqS.html?page=28&pos=19&cur_pos=19&ads_per_page=23&ads_count=15800&lid=Xg7o-UQzyIZWjCuu&indexPosition=636,"4 BEDROOM DETACHED DUPLEX For RENT.
RENT: 6.5M
Legal : 650k
Agency:650k
Caution: 500k
Total package: 8.3M
Features:
All room ensuite 
Inbuilt speaker.
Fitted kitchen 
Pop ceiling 
Car port
Water heaters 
Stamp concrete 
Secure estate 
Self serviced.",Ikota,,"700
     
      sqm",Newly-Built,Unfurnished,Duplex,4 bedrooms,4 bathrooms,,,,,,,,,,,,,
3bdrm Apartment in Banana Island for rent, 20000000,"Ikoyi, Banana Island",https://jiji.ng/banana-island/houses-apartments-for-rent/3bdrm-apartment-in-banana-island-for-rent-l7Yw52cv0SejGirlYmtWpzxd.html?page=28&pos=22&cur_pos=22&ads_per_page=23&ads_count=15800&lid=Xg7o-UQzyIZWjCuu&indexPosition=639,"FOR RENT! 
Lovely 3 Bedroom Apartment
Location- Banana Island, Lagos 
Rent - N20million per annum 
Service Charge - N6,000,000 per annum (Diesel Deposit Inclusive) 
Caution - N1,000,000
Agency - 10% 
Legal - 5%
Property Features: 
- [x] Room ensuite 
- [x] Visitors toilet 
- [x] Fitted Kitchen
- [x] Very Secured Estate 
- [x] 24hrs Security
- [x] 24hrs Power
- [x] Swimming Pool
- [x] Gym
- [x] BQ
- [x] Ample Parking Space 
- [x] Wardrobe
- [x] Kitchen cabinet
For more information and enquiries070XXXXXXXX",Banana Island,,"500
     
      sqm",Newly-Built,Semi-Furnished,Apartment,3 bedrooms,3 bathrooms,,,,,,,,,,,,,
"2bdrm Apartment in Agungi, Lekki for rent", 80000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/2bdrm-apartment-in-agungi-lekki-for-rent-hXr0vf3ZiGZ0Zy1NdRQVVNi.html?page=29&pos=2&cur_pos=2&ads_per_page=23&ads_count=15800&lid=Xg7o-UQzyIZWjCuu&indexPosition=642,"Xlhome 2 bed || agungi || n80m
exquisitely designed 2 bedroom apartment suitable for investment or family residence.
location: agungi, through osapa, lekki
price: n80m
investment income guide:
rental value: n4m per year
shortlet rate: n80k per night
features •
spacious living room • ensuite rooms • chandelier • sound system • 24hrs security • 24hrs power supply • treated water • cctv cameras • top quality tiles • 2 parking spaces • gate house • good access roads • flood free
title: governor’s consent","Agungi,lekki","Agungi, lekki","300
     
      sqm",Newly-Built,Semi-Furnished,Apartment,2 bedrooms,2 bathrooms,,,,,,,,,,,,,
"3bdrm Apartment in Oniru-Lekk, Lekki Phase 2 for rent", 6500000,"Lekki, Lekki Phase 2",https://jiji.ng/lekki-phase-2/houses-apartments-for-rent/3bdrm-apartment-in-oniru-lekk-lekki-phase-2-for-rent-twFVGg8EwqPO4CTiJ25waPRc.html?page=29&pos=5&cur_pos=5&ads_per_page=23&ads_count=15800&lid=Xg7o-UQzyIZWjCuu&indexPosition=645,"3 bedroom Apartment with a bq located at Ade Adedeji off Ayo babatunde . Bye, Ebano oniru estate

Security Deposits ##1m",3 BED APARTMENT AT ONIRU-LEKK,ONIRU-LEKK,"600
     
      sqm",Newly-Built,Semi-Furnished,Apartment,3 bedrooms,3 bathrooms,1500000,,10,10,1000000,1000020,,,,,,,
"Furnished 2bdrm Duplex in Good View Estate By, Ajah for Rent", 1900000,Ajah,https://jiji.ng/ajah/houses-apartments-for-rent/furnished-2bdrm-duplex-in-good-view-estate-by-ajah-for-rent-B4PNLPsATq9MOg61y7zCekET.html?page=29&pos=8&cur_pos=8&ads_per_page=23&ads_count=15800&lid=Xg7o-UQzyIZWjCuu&indexPosition=648,"Newly built 2 bedroom Terrence duplex with model finishing and good interiors design, in an estate that has good road network, clean water, maximum power supply, CCTV camera in strategic location and gallant security men at the entrance gate in good view estate by Lagos business school.",Good views estate by Lagos business school,Good view estate by Lagos business school,"650
     
      sqm",Newly-Built,Furnished,Duplex,2 bedrooms,3 bathrooms,,,,,,,,,,,,,
4bdrm Townhouse / Terrace in Lekki for rent, 7000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/4bdrm-townhouse-terrace-in-lekki-for-rent-jSmgEiSgkt8EUX9yTgbAZr2r.html?page=29&pos=11&cur_pos=11&ads_per_page=23&ads_count=15800&lid=Xg7o-UQzyIZWjCuu&indexPosition=651,"FOR RENT! 
Lovely 4 Bedroom Terrace Duplex
Location- Ologolo, Lekki
Rent - per annum
Service Charge -
Caution -
Agency - 10% 
Legal - 10%
Property Features:
- [x] Prepaid Meter
- [x] Swimming Pool
- [x] Gas Cooker
- [x] Jacuzzi
- [x] Microwave
- [x] Water Treatment Machine
- [x] Inbuilt Heat Extractor
- [x] Room ensuite 
- [x] Visitors toilet 
- [x] Fitted Kitchen
- [x] Very Secured Estate 
- [x] Ample Parking Space 
- [x] Wardrobe 
- [x] Kitchen cabinet
For more information and enquiries070XXXXXXXX",Ologolo,,"500
     
      sqm",Newly-Built,Semi-Furnished,Townhouse / Terrace,4 bedrooms,4 bathrooms,,,,,,,Semi-Detached,,,,,,
4bdrm Townhouse / Terrace in Ikate for rent, 7500000,"Lekki, Ikate",https://jiji.ng/ikate/houses-apartments-for-rent/4bdrm-townhouse-terrace-in-ikate-for-rent-g4KhHhMc6o2S9B0rBpm3NYNQ.html?page=29&pos=14&cur_pos=14&ads_per_page=23&ads_count=15800&lid=Xg7o-UQzyIZWjCuu&indexPosition=654,"4BEDROOM TERRACE DUPLEX FOR RENT.
RENT: 7.5M
Other Charges:
Agency:10%
Legal:10%
Caution: 10:
 Total package: 11,250,000
 Amenities: 
- [ ] 4BEDROOM 
- [ ]6Hours electricity(Inverter)
- [ ] Fitted Kitchen with accessories 
- [ ] Modern Day POP Ceiling 
- [ ] Detailed finishing 
- [ ] Wardrobes 
- [ ] Water heater
- [ ] Heat extractor.
- [ ]Jacuzzi
- [ ]Inverter
- [ ] Serviced",Ikate,,"450
     
      sqm",Fairly Used,Unfurnished,Townhouse / Terrace,4 bedrooms,4 bathrooms,1500000,,,,,,,,,,,,
"4bdrm Townhouse / Terrace in Ikate, Lekki for Rent", 8000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/4bdrm-townhouse-terrace-in-ikate-lekki-for-rent-g0Z81IisE5gk6LImzpLBnNPD.html?page=29&pos=18&cur_pos=18&ads_per_page=23&ads_count=15800&lid=Xg7o-UQzyIZWjCuu&indexPosition=658,"4bedroom terrace duplex with a bq at ikate, Lekki
Rent 8m
Service charge 840k
Agency 10%
Legal 10%
Caution 500k
Power is pay as you go
18hours power guarantee
ilond.","Ikate, Lekki",Ikate,"350
     
      sqm",Newly-Built,Semi-Furnished,Townhouse / Terrace,4 bedrooms,5 bathrooms,,,,,,,,,,,,,
"5bdrm Duplex in Osapa London, Lekki for rent", 10500000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/5bdrm-duplex-in-osapa-london-lekki-for-rent-3vmHTtV2MdX2PWSPL24t5ciI.html?page=29&pos=22&cur_pos=22&ads_per_page=23&ads_count=15800&lid=Xg7o-UQzyIZWjCuu&indexPosition=662,"To let !! 
well finished 5 bedroom fully detached duplex with
swimming pool •
location: osapa london lekki  || 
rent : 10.5m per annum 
other charges 
legal - 10%
agency - 10%
caution - 700k
service charge -
total package: 13.3m",Osapa London,Osapa London,"1000
     
      sqm",Newly-Built,Unfurnished,Duplex,5 bedrooms,6 bathrooms,,,,1000000,700000,,,,,,,,
"5bdrm Duplex in Vgc, Lekki for rent", 15000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/5bdrm-duplex-in-vgc-lekki-for-rent-rRo5541K7r35ctTADsq791yJ.html?page=30&pos=2&cur_pos=2&ads_per_page=23&ads_count=15800&lid=Xg7o-UQzyIZWjCuu&indexPosition=665,"Chisom *FOR RENT! * 
Lovely 5 Bedroom Semi Detached Duplex 
Location - By VGC Lekki
Rent - N15million per annum
Service charge - TBD
Caution- 10%
Agency - 10% 
Legal - 10%
 *Property Features:* 
-[x] All Rooms Ensuite
-[x] Fitted kitchen 
-[x] Stamped Concrete Floor
-[x] Water Heater
-[x] Walk in shower 
-[x] Water Treatment 
-[x] Serene environment","VGC, lekki",VGC,"500
     
      sqm",Newly-Built,Semi-Furnished,Duplex,5 bedrooms,5 bathrooms,,,,,,,,,,,,,
4bdrm Duplex in Banana Island for Rent, 25000000,"Ikoyi, Banana Island",https://jiji.ng/banana-island/houses-apartments-for-rent/4bdrm-duplex-in-banana-island-for-rent-3lutX4JGnAaHLcjXwjFaVQI.html?page=30&pos=5&cur_pos=5&ads_per_page=23&ads_count=15800&lid=Xg7o-UQzyIZWjCuu&indexPosition=668,8 Units of 4bedroom Semi detached Duplexes with contemporary design and fitting. Quality sanitary wares and kitchen wares. A single corporate tenant preferred.,Banana Island,,"600
     
      sqm",Newly-Built,Semi-Furnished,Duplex,4 bedrooms,5 bathrooms,,,,,,,,,,,,,
"3bdrm Block of Flats in Eputu/Newroad, Awoyaya for rent", 800000,"Ibeju, Awoyaya",https://jiji.ng/awoyaya/houses-apartments-for-rent/3bdrm-block-of-flats-in-eputu-newroad-awoyaya-for-rent-lmypRyJETp4DNiIoHQkduZ9o.html?page=30&pos=8&cur_pos=8&ads_per_page=23&ads_count=15800&lid=Xg7o-UQzyIZWjCuu&indexPosition=671,"* spacious 3 bedroom flat at Onimanu/ Newroad
* regular electricity 
* clean water running 
* accessible road
* only 2 units in a compound",New road/Eputu,Eputu/Newroad,"650
     
      sqm",Renovated,Semi-Furnished,Block of Flats,3 bedrooms,3 bathrooms,,,80000,80000,80000,240000,,,,,,,
